date,open,high,low,close,volume
1993-01-01,100.05,102.13,100.05,102.13,238531
1993-01-04,101.63,102.37,101.15,101.15,543066
1993-01-05,101.20,101.32,99.57,101.32,13428022
1993-01-06,99.13,99.13,96.59,96.77,653418
1993-01-07,96.81,98.89,96.81,97.35,119890
1993-01-08,98.39,98.57,97.78,98.57,316534
1993-01-11,99.85,99.85,97.84,98.63,6293725
1993-01-12,99.45,101.14,99.44,100.77,136747
1993-01-13,101.15,101.28,99.52,99.52,156822
1993-01-14,100.32,103.26,100.32,103.26,8160870
1993-01-15,103.94,103.94,100.92,100.92,7285335
1993-01-18,101.14,101.14,98.60,98.60,361219
1993-01-19,98.73,98.98,97.83,98.98,996473
1993-01-20,97.79,97.79,96.90,97.40,391344
1993-01-21,97.75,101.60,97.75,101.60,288656
1993-01-22,100.70,100.97,99.51,99.51,262933
1993-01-25,100.15,102.05,100.15,102.05,58451
1993-01-26,102.71,102.71,100.94,101.26,6078492
1993-01-27,101.13,104.68,101.13,104.68,1234242
1993-01-28,104.92,107.68,104.28,107.68,14727
1993-01-29,108.50,109.86,108.15,108.15,12947254
1993-02-01,106.62,106.62,103.70,103.70,492505
1993-02-02,102.35,102.79,101.80,102.79,89204
1993-02-03,103.41,103.41,102.27,102.89,138104
1993-02-04,103.37,104.51,103.37,103.40,871791
1993-02-05,102.33,102.33,99.91,99.91,5729361
1993-02-08,100.55,100.55,98.53,98.53,483079
1993-02-09,99.13,99.13,96.20,96.20,463758
1993-02-10,97.26,97.26,96.21,97.01,1129783
1993-02-11,97.70,99.73,97.70,98.60,156787
1993-02-12,98.73,98.73,96.78,97.24,417096
1993-02-15,98.57,98.57,96.94,96.94,4439050
1993-02-16,95.48,95.48,93.70,94.20,429981
1993-02-17,94.67,97.27,94.67,97.27,571830
1993-02-18,97.47,97.94,97.44,97.94,341002
1993-02-19,97.57,98.01,97.54,97.54,101803
1993-02-22,97.16,97.82,96.29,97.82,3065282
1993-02-23,98.42,99.11,98.35,98.35,268234
1993-02-24,97.83,98.05,97.25,98.01,123101
1993-02-25,97.09,97.09,95.06,95.06,14525790
1993-02-26,96.24,97.15,95.86,97.15,342631
1993-03-01,96.86,98.84,96.86,97.95,337782
1993-03-02,98.46,99.86,98.46,99.86,384655
1993-03-03,98.58,98.91,98.02,98.42,644319
1993-03-04,97.14,99.19,97.14,98.16,2784765
1993-03-05,98.56,98.56,95.97,95.97,1118656
1993-03-08,94.00,95.34,94.00,94.02,22702886
1993-03-09,93.14,94.79,92.25,94.79,606513
1993-03-10,92.82,93.44,91.55,93.44,425950
1993-03-11,93.60,93.60,91.97,92.70,50289
1993-03-12,94.80,94.80,93.75,94.10,28322241
1993-03-15,93.88,93.88,92.38,92.38,150047
1993-03-16,92.24,94.14,92.00,94.14,389323
1993-03-17,96.14,96.14,93.61,93.61,13509187
1993-03-18,92.44,93.12,90.94,93.12,2146969
1993-03-19,92.11,92.91,91.77,91.77,4484227
1993-03-22,91.47,92.72,91.47,92.50,633612
1993-03-23,92.90,96.22,92.90,96.22,5023061
1993-03-24,94.87,96.20,94.04,94.04,867624
1993-03-25,93.28,94.53,93.15,93.62,1023476
1993-03-26,93.70,97.16,93.70,97.16,53128
1993-03-29,97.86,99.21,97.81,97.81,4958393
1993-03-30,96.52,96.52,96.06,96.06,4368993
1993-03-31,96.62,96.62,96.01,96.01,660150
1993-04-01,95.69,96.64,95.69,96.52,2020216
1993-04-02,96.57,98.68,96.57,98.68,41596
1993-04-05,98.11,99.45,98.11,99.08,484020
1993-04-06,98.44,99.05,98.44,98.44,81486
1993-04-07,97.18,97.65,96.91,96.91,1240493
1993-04-08,95.73,95.73,93.72,94.81,214889
1993-04-09,95.70,96.92,95.52,95.75,181746
1993-04-12,94.79,95.39,93.87,94.82,5910136
1993-04-13,94.81,94.81,94.46,94.46,66620
1993-04-14,94.28,96.20,94.28,96.20,87653
1993-04-15,96.86,97.48,96.63,96.63,352370
1993-04-16,96.24,98.59,96.24,98.59,1763720
1993-04-19,98.10,98.40,96.64,96.64,20497
1993-04-20,95.24,95.24,93.92,93.92,29776251
1993-04-21,93.56,94.55,93.54,93.95,606130
1993-04-22,94.61,94.79,94.29,94.79,1448441
1993-04-23,94.09,94.09,92.79,92.79,128914
1993-04-26,92.88,92.88,89.69,89.69,565827
1993-04-27,90.05,90.05,88.45,88.45,3244204
1993-04-28,89.11,89.11,85.58,85.58,3133817
1993-04-29,85.17,85.40,84.92,85.40,234838
1993-04-30,84.97,86.48,84.97,86.48,9786
1993-05-03,84.94,86.35,84.93,86.35,193361
1993-05-04,85.39,87.29,85.39,87.29,162184
1993-05-05,86.88,88.08,86.56,88.08,89223
1993-05-06,89.15,89.26,87.98,89.26,106842
1993-05-07,89.49,89.84,89.35,89.35,26858
1993-05-10,89.71,91.55,89.45,91.55,165305
1993-05-11,90.49,92.54,90.49,92.54,696372
1993-05-12,91.41,91.64,91.07,91.64,166131
1993-05-13,91.68,91.68,89.39,89.39,1173943
1993-05-14,89.45,90.94,89.41,90.94,207838
1993-05-17,89.49,89.49,88.71,88.76,5326721
1993-05-18,88.19,88.78,88.19,88.78,4545299
1993-05-19,89.42,92.09,89.42,92.09,1283857
1993-05-20,91.74,92.77,91.74,92.02,48207
1993-05-21,92.40,95.22,92.40,95.22,744114
1993-05-24,93.88,93.88,92.72,92.72,217797
1993-05-25,93.35,94.69,92.73,94.69,304346
1993-05-26,94.63,94.90,94.63,94.63,49119
1993-05-27,94.47,95.76,93.64,95.76,504006
