date,open,high,low,close,volume
1993-01-01,100.37,101.02,99.13,99.13,24562
1993-01-04,97.67,98.69,97.46,98.69,93228
1993-01-05,98.13,99.15,97.67,97.67,1869611
1993-01-06,98.07,100.96,98.07,100.96,317912
1993-01-07,100.73,100.73,98.24,98.93,1461745
1993-01-08,97.96,98.51,97.87,97.87,70126
1993-01-11,98.11,100.26,98.11,99.86,33892
1993-01-12,100.91,103.38,100.91,101.89,376598
1993-01-13,101.02,101.03,99.82,99.82,402413
1993-01-14,101.89,102.45,101.72,102.30,1167249
1993-01-15,102.45,102.95,99.91,102.95,1451511
1993-01-18,102.86,102.86,101.01,101.01,1037637
1993-01-19,101.79,103.53,101.79,102.29,529369
1993-01-20,103.44,103.44,103.10,103.21,1552041
1993-01-21,103.99,107.51,103.99,107.51,92269
1993-01-22,108.24,108.86,107.11,108.86,85466
1993-01-25,108.80,109.59,108.18,108.18,325915
1993-01-26,108.93,109.08,108.70,108.74,667996
1993-01-27,109.82,109.82,107.76,107.80,172584
1993-01-28,106.14,108.76,106.14,107.34,60222
1993-01-29,106.27,106.43,105.63,105.63,246711
1993-02-01,105.23,105.27,104.39,105.27,1172027
1993-02-02,107.21,107.21,102.70,102.70,4353578
1993-02-03,102.86,103.02,101.31,101.85,149953
1993-02-04,102.56,103.29,101.75,102.17,314576
1993-02-05,103.32,103.32,102.22,102.63,149689
1993-02-08,101.36,101.36,100.84,101.18,56109
1993-02-09,101.18,101.67,101.18,101.67,1763702
1993-02-10,103.15,105.93,103.15,105.93,1825403
1993-02-11,104.80,104.80,102.12,102.12,328612
1993-02-12,100.21,102.14,99.72,102.14,51812
1993-02-15,102.07,102.29,100.61,100.61,1921764
1993-02-16,100.10,100.10,98.28,98.28,209643
1993-02-17,97.49,97.49,96.37,96.37,1183567
1993-02-18,96.41,97.02,96.31,96.31,716570
1993-02-19,97.12,97.12,92.94,92.94,1157
1993-02-22,91.53,93.42,91.53,92.51,584662
1993-02-23,92.28,92.46,91.50,91.52,210423
1993-02-24,92.18,92.70,91.42,91.42,344419
1993-02-25,91.02,91.02,89.81,89.81,66552
1993-02-26,89.29,89.29,86.80,86.80,1572344
1993-03-01,86.94,87.06,86.26,86.26,505311
1993-03-02,87.26,88.21,87.26,88.21,1052129
1993-03-03,88.09,89.63,88.09,88.86,3670133
1993-03-04,89.07,90.66,88.84,90.66,6609410
1993-03-05,91.05,91.19,90.48,91.01,1880320
1993-03-08,92.48,93.80,91.95,93.80,1361434
1993-03-09,94.59,95.35,93.88,93.88,627648
1993-03-10,94.48,94.48,93.29,93.91,1089268
1993-03-11,93.90,93.90,91.19,91.19,364299
1993-03-12,91.56,91.87,90.13,91.87,2489093
1993-03-15,92.26,92.77,92.26,92.74,516305
1993-03-16,93.90,93.90,92.71,92.81,1482680
1993-03-17,92.97,93.41,92.75,93.37,2219511
1993-03-18,94.48,96.98,94.48,96.98,6443
1993-03-19,96.25,96.25,91.95,91.95,115277
1993-03-22,91.37,92.74,90.70,92.74,3379911
1993-03-23,92.59,92.63,91.19,91.19,560184
1993-03-24,89.56,89.90,88.24,89.03,351900
1993-03-25,88.58,89.57,88.58,89.48,3574049
1993-03-26,90.08,90.34,89.11,90.34,185665
1993-03-29,90.46,91.34,90.46,91.34,694534
1993-03-30,89.89,90.76,89.89,90.76,1572962
1993-03-31,90.62,90.62,87.84,87.84,1126940
1993-04-01,88.42,89.56,88.12,89.56,653148
1993-04-02,89.68,89.68,87.69,87.69,1370418
1993-04-05,87.36,88.49,87.28,87.28,561417
1993-04-06,86.74,87.19,86.69,86.78,2935228
1993-04-07,86.75,86.78,84.93,84.93,1077214
1993-04-08,85.49,85.98,85.49,85.98,99580
1993-04-09,86.72,86.91,85.95,86.16,418077
1993-04-12,85.73,85.73,84.03,84.08,1697105
1993-04-13,84.77,85.02,84.20,84.20,401572
1993-04-14,84.86,86.11,84.86,86.11,340848
1993-04-15,86.37,86.37,84.75,84.75,911362
1993-04-16,84.11,85.26,84.11,85.26,553742
