Date,Open,High,Low,Close,Adj Close,Volume
2026-02-04,1.1816,1.1839,1.1792,1.1816,1.1816,-
2026-02-03.1.1799,1.1825,1.1781,1.1799,1.1799,-
2026-02-02,1.1850,1.1875,1.1791,1.1849,1.1849,-
2026-01-30,1.1972,1.1977,1.1899,1.1927,1.1927,-
2026-01-29,1.1977,1.1995,1.1908,1.1978,1.1978,-
2026-01-28,1.2023,1.2024,1.1922,1.2018,1.2018,-
2026-01-27,1.1874,1.1990,1.1852,1.1876,1.1876,-
2026-01-26,1.1858,1.1905,1.1837,1.1858,1.1858,-
2026-01-23,1.1754,1.1776,1.1729,1.1755,1.1755,-
2026-01-22,1.1674,1.1751,1.1674,1.1673,1.1673,-
2026-01-21,1.1726,1.1743,1.1697,1.1728,1.1728,-
2026-01-20,1.1640,1.1747,1.1633,1.1639,1.1639,-
2026-01-19,1.1624,1.1650,1.1610,1.1625,1.1625,-
2026-01-16,1.1610,1.1627,1.1585,1.1609,1.1609,-
2026-01-15,1.1645,1.1647,1.1594,1.1646,1.1646,-
2026-01-14,1.1643,1.1663,1.1637,1.1643,1.1643,-
2026-01-13,1.1668,1.1675,1.1635,1.1667,1.1667,-
2026-01-12,1.1625,1.1699,1.1623,1.1624,1.1624,-
2026-01-09,1.1658,1.1660,1.1619,1.1658,1.1658,-
2026-01-08,1.1677,1.1685,1.1653,1.1677,1.1677,-
2026-01-07,1.1688,1.1705,1.1674,1.1688,1.1688,-
2026-01-06,1.1716,1.1745,1.1684,1.1715,1.1715,-
2026-01-05,1.1706,1.1719,1.1660,1.1705,1.1705,-
2026-01-02,1.1751,1.1767,1.1713,1.1750,1.1750,-
2025-12-31,1.1746,1.1759,1.1721,1.1747,1.1747,-
2025-12-30,1.1773,1.1781,1.1746,1.1773,1.1773,-
2025-12-29,1.1775,1.1789,1.1754,1.1773,1.1773,-
2025-12-26,1.1784,1.1799,1.1763,1.1785,1.1785,-
2025-12-24,1.1796,1.1809,1.1774,1.1796,1.1796,-
2025-12-23,1.1764,1.1804,1.1764,1.1766,1.1766,-
2025-12-22,1.1711,1.1770,1.1711,1.1708,1.1708,-
2025-12-19,1.1725,1.1738,1.1704,1.1726,1.1726,-
2025-12-18,1.1742,1.1759,1.1713,1.1742,1.1742,-
2025-12-17,1.1750,1.1758,1.1705,1.1750,1.1750,-
2025-12-16,1.1755,1.1805,1.1746,1.1755,1.1755,-
2025-12-15,1.1738,1.1769,1.1727,1.1738,1.1738,-
2025-12-12,1.1741,1.1747,1.1720,1.1739,1.1739,-
2025-12-11,1.1702,1.1759,1.1683,1.1701,1.1701,-
2025-12-10,1.1628,1.1657,1.1622,1.1628,1.1628,-
2025-12-09,1.1641,1.1657,1.1617,1.1641,1.1641,-
2025-12-08,1.1641,1.1673,1.1617,1.1640,1.1640,-
2025-12-05,1.1645,1.1671,1.1629,1.1643,1.1643,-
2025-12-04,1.1667,1.1682,1.1654,1.1667,1.1667,-
2025-12-03,1.1629,1.1676,1.1628,1.1628,1.1628,-
2025-12-02,1.1608,1.1624,1.1593,1.1608,1.1608,-
2025-12-01,1.1602,1.1652,1.1590,1.1601,1.1601,-
2025-11-28,1.1600,1.1607,1.1557,1.1600,1.1600,-
2025-11-27,1.1604,1.1616,1.1577,1.1602,1.1602,-
2025-11-26,1.1566,1.1602,1.1550,1.1565,1.1565,-
2025-11-25,1.1521,1.1583,1.1512,1.1520,1.1520,-
2025-11-24,1.1508,1.1551,1.1503,1.1508,1.1508,-
2025-11-21,1.1535,1.1552,1.1492,1.1535,1.1535,-
2025-11-20,1.1541,1.1551,1.1508,1.1541,1.1541,-
2025-11-19,1.1581,1.1598,1.1535,1.1581,1.1581,-
2025-11-18,1.1590,1.1607,1.1574,1.1591,1.1591,-
2025-11-17,1.1615,1.1617,1.1583,1.1615,1.1615,-
2025-11-14,1.1631,1.1654,1.1608,1.1632,1.1632,-
2025-11-13,1.1592,1.1649,1.1580,1.1592,1.1592,-
2025-11-12,1.1589,1.1598,1.1563,1.1587,1.1587,-
2025-11-11,1.1557,1.1606,1.1548,1.1557,1.1557,-
2025-11-10,1.1555,1.1582,1.1544,1.1544,1.1544,-
2025-11-07,1.1549,1.1590,1.1530,1.1549,1.1549,-
2025-11-06,1.1497,1.1543,1.1494,1.1497,1.1497,-
2025-11-05,1.1486,1.1498,1.1470,1.1486,1.1486,-
2025-11-04,1.1519,1.1533,1.1474,1.1519,1.1519,-
2025-11-03,1.1528,1.1542,1.1506,1.1528,1.1528,-
2025-10-31,1.1572,1.1578,1.1524,1.1572,1.1572,-
2025-10-30,1.1603,1.1635,1.1548,1.1603,1.1603,-
2025-10-29,1.1658,1.1666,1.1620,1.1658,1.1658,-
2025-10-28,1.1652,1.1669,1.1628,1.1652,1.1652,-
2025-10-27,1.1632,1.1650,1.1619,1.1632,1.1632,-
2025-10-24,1.1618,1.1648,1.1602,1.1618,1.1618,-
2025-10-23,1.1608,1.1621,1.1586,1.1608,1.1608,-
2025-10-22,1.1600,1.1617,1.1578,1.1600,1.1600,-
2025-10-21,1.1644,1.1656,1.1599,1.1644,1.1644,-
2025-10-20,1.1657,1.1677,1.1645,1.1657,1.1657,-
2025-10-17,1.1700,1.1728,1.1658,1.1700,1.1700,-
2025-10-16,1.1646,1.1678,1.1643,1.1646,1.1646,-
2025-10-15,1.1602,1.1648,1.1603,1.1602,1.1602,-
2025-10-14,1.1567,1.1607,1.1545,1.1567,1.1567,-
2025-10-13,1.1602,1.1630,1.1559,1.1602,1.1602,-
2025-10-10,1.1566,1.1630,1.1561,1.1566,1.1566,-
2025-10-09,1.1632,1.1650,1.1549,1.1632,1.1632,-
2025-10-08,1.1655,1.1653,1.1604,1.1655,1.1655,-
2025-10-07,1.1710,1.1711,1.1655,1.1710,1.1710,-
2025-10-06,1.1712,1.1732,1.1654,1.1712,1.1712,-
2025-10-03,1.1725,1.1757,1.1716,1.1725,1.1725,-
2025-10-02,1.1734,1.1759,1.1686,1.1734,1.1734,-
2025-10-01,1.1736,1.1779,1.1717,1.1736,1.1736,-
2025-09-30,1.1731,1.1759,1.1713,1.1731,1.1731,-
2025-09-29,1.1708,1.1755,1.1705,1.1708,1.1708,-
2025-09-26,1.1663,1.1702,1.1659,1.1663,1.1663,-
2025-09-25,1.1745,1.1754,1.1668,1.1745,1.1745,-
2025-09-24,1.1814,1.1817,1.1731,1.1814,1.1814,-
2025-09-23,1.1801,1.1820,1.1782,1.1801,1.1801,-
2025-09-22,1.1737,1.1787,1.1727,1.1737,1.1737,-
2025-09-19,1.1791,1.1794,1.1730,1.1791,1.1791,-
2025-09-18,1.1826,1.1848,1.1751,1.1826,1.1826,-
2025-09-17,1.1871,1.1873,1.1834,1.1871,1.1871,-
2025-09-16,1.1764,1.1853,1.1758,1.1764,1.1764,-
2025-09-15,1.1726,1.1774,1.1717,1.1726,1.1726,-
2025-09-12,1.1735,1.1748,1.1703,1.1735,1.1735,-
2025-09-11,1.1703,1.1746,1.1669,1.1703,1.1703,-
2025-09-10,1.1703,1.1730,1.1689,1.1703,1.1703,-
2025-09-09,1.1769,1.1780,1.1719,1.1769,1.1769,-
2025-09-08,1.1713,1.1756,1.1706,1.1713,1.1713,-
2025-09-05,1.1657,1.1759,1.1653,1.1657,1.1657,-
2025-09-04,1.1660,1.1668,1.1632,1.1660,1.1660,-
2025-09-03,1.1636,1.1682,1.1610,1.1636,1.1636,-
2025-09-02,1.1716,1.1716,1.1613,1.1716,1.1716,-
2025-09-01,1.1692,1.1736,1.1689,1.1692,1.1692,-
2025-08-29,1.1682,1.1707,1.1654,1.1682,1.1682,-
2025-08-28,1.1648,1.1688,1.1630,1.1648,1.1648,-
2025-08-27,1.1639,1.1643,1.1575,1.1639,1.1639,-
2025-08-26,1.1618,1.1665,1.1603,1.1618,1.1618,-
2025-08-25,1.1710,1.1720,1.1667,1.1710,1.1710,-
2025-08-22,1.1613,1.1730,1.1584,1.1613,1.1613,-
2025-08-21,1.1652,1.1662,1.1603,1.1652,1.1652,-
2025-08-20,1.1643,1.1673,1.1624,1.1643,1.1643,-
2025-08-19,1.1668,1.1693,1.1641,1.1668,1.1668,-
2025-08-18,1.1707,1.1711,1.1662,1.1707,1.1707,-
2025-08-15,1.1651,1.1715,1.1648,1.1651,1.1651,-
2025-08-14,1.1713,1.1716,1.1638,1.1713,1.1713,-
2025-08-13,1.1677,1.1731,1.1672,1.1677,1.1677,-
2025-08-12,1.1618,1.1695,1.1599,1.1618,1.1618,-
2025-08-11,1.1648,1.1677,1.1591,1.1648,1.1648,-
