Date,Open,High,Low,Close,Adj Close,Volume
16-02-2026,1.3647,1.3663,1.3627,1.3648,1.3648,-
13-02-2026,1.3620,1.3646,1.3592,1.3620,1.3620,-
12-02-2026,1.3624,1.3671,1.3605,1.3624,1.3624,-
11-02-2026,1.3633,1.3713,1.3620,1.3635,1.3635,-
10-02-2026,1.3683,1.3699,1.3654,1.3683,1.3683,-
09-02-2026,1.3609,1.3692,1.3589,1.3609,1.3609,-
06-02-2026,1.3521,1.3616,1.3510,1.3521,1.3521,-
05-02-2026,1.3646,1.3655,1.3521,1.3645,1.3645,-
04-02-2026,1.3698,1.3733,1.3644,1.3698,1.3698,-
03-02-2026,1.3674,1.3707,1.3653,1.3673,1.3673,-
02-02-2026,1.3681,1.3714,1.3628,1.3679,1.3679,-
30-01-2026,1.3809,1.3814,1.3715,1.3806,1.3806,-
29-01-2026,1.3823,1.3847,1.3748,1.3825,1.3825,-
