date,open,high,low,close,volume
1993-01-01,99.75,100.10,99.23,99.23,126106
1993-01-04,99.77,99.77,98.66,99.41,334154
1993-01-05,98.27,98.27,95.99,95.99,3190270
1993-01-06,95.30,95.38,94.36,95.38,511266
1993-01-07,94.84,98.20,94.84,98.20,141475
1993-01-08,96.50,96.50,93.63,93.63,1499949
1993-01-11,94.70,94.70,92.94,92.94,153500
1993-01-12,93.93,93.93,92.72,93.82,252893
1993-01-13,93.26,95.01,93.26,94.21,268144
1993-01-14,93.71,93.71,90.34,90.34,1978333
1993-01-15,90.45,90.55,89.58,89.58,6581519
1993-01-18,90.38,92.58,90.38,92.58,18461
1993-01-19,91.73,91.73,90.49,90.49,375651
1993-01-20,90.63,91.72,90.63,91.72,54897
1993-01-21,91.09,91.09,88.00,88.00,2696372
1993-01-22,89.52,89.52,87.49,87.49,452890
1993-01-25,86.48,87.23,86.07,86.46,610097
1993-01-26,87.18,89.16,87.18,89.16,1184784
1993-01-27,89.59,90.95,89.59,90.95,154329
1993-01-28,90.67,90.67,87.27,87.27,68519
1993-01-29,88.31,90.43,88.31,89.91,199877
1993-02-01,88.78,89.90,87.81,87.81,1879007
1993-02-02,87.41,88.53,86.59,88.53,428101
1993-02-03,88.07,89.33,88.07,89.33,8976
1993-02-04,89.97,89.97,88.12,88.12,2997912
1993-02-05,86.78,87.32,86.35,86.35,2454933
1993-02-08,85.52,86.07,85.32,86.07,2057356
1993-02-09,86.68,87.84,86.68,87.22,129021
1993-02-10,87.48,87.48,86.40,86.40,10588252
1993-02-11,86.18,86.18,83.73,83.73,1267558
1993-02-12,83.44,84.74,83.44,83.54,321156
1993-02-15,84.15,84.63,84.15,84.36,982817
1993-02-16,86.27,88.47,86.27,88.47,7577137
1993-02-17,87.73,89.31,87.73,89.31,336774
1993-02-18,89.16,89.16,88.50,88.92,69234
1993-02-19,90.17,90.17,88.62,88.62,4058877
1993-02-22,89.22,91.27,89.22,91.27,154320
1993-02-23,91.25,91.25,90.25,90.49,2745116
1993-02-24,91.03,91.03,90.46,90.61,6129
1993-02-25,91.19,91.19,91.09,91.11,69911
1993-02-26,90.32,90.51,89.75,90.51,1979819
1993-03-01,90.30,90.30,88.96,88.96,369613
1993-03-02,88.04,91.61,88.04,91.61,65058
1993-03-03,91.54,92.60,91.54,92.23,253497
1993-03-04,93.54,94.62,93.54,94.62,327212
1993-03-05,93.53,94.93,93.53,94.93,955560
1993-03-08,95.60,95.60,94.73,95.38,2306022
1993-03-09,94.71,95.03,92.91,92.91,67090
1993-03-10,92.70,94.44,91.02,94.44,388827
1993-03-11,95.32,95.44,94.67,95.44,325308
1993-03-12,94.15,94.74,94.15,94.48,878663
1993-03-15,94.14,96.11,94.14,96.11,47478
1993-03-16,96.80,96.80,95.50,95.50,732263
1993-03-17,95.80,95.80,94.35,94.35,2635689
1993-03-18,92.29,92.75,92.22,92.22,47410
1993-03-19,92.23,92.67,90.94,92.67,234281
1993-03-22,91.70,93.90,91.70,93.90,99957
1993-03-23,94.36,94.36,91.17,91.17,370950
1993-03-24,92.04,92.04,91.26,91.75,4283179
1993-03-25,92.70,93.27,92.70,93.10,8784246
1993-03-26,93.30,93.47,92.25,93.12,81693
1993-03-29,92.96,95.83,92.96,95.83,1752189
1993-03-30,94.52,95.48,94.39,95.48,14736293
1993-03-31,94.84,96.47,94.84,95.32,322948
