date,open,high,low,close,volume
1993-01-01,100.70,102.01,100.70,101.19,33914
1993-01-04,103.30,105.22,103.30,103.51,825259
1993-01-05,104.27,105.50,104.27,105.50,2291282
1993-01-06,105.16,105.16,102.32,102.32,87923
1993-01-07,103.77,104.06,102.93,104.06,19872
1993-01-08,102.37,103.20,102.37,103.19,415564
1993-01-11,104.02,105.37,104.02,105.37,108469
1993-01-12,105.01,106.75,104.62,106.75,8098904
1993-01-13,106.58,106.77,106.58,106.58,574350
1993-01-14,107.61,109.52,107.61,109.00,283123
1993-01-15,109.94,111.00,108.28,108.28,196450
1993-01-18,107.26,109.13,107.26,107.91,287885
1993-01-19,108.14,108.14,106.05,106.05,1211936
1993-01-20,105.91,105.91,104.86,105.73,397260
1993-01-21,107.50,109.09,107.30,107.30,2490369
1993-01-22,108.69,110.41,108.69,109.84,512989
1993-01-25,109.05,109.05,105.84,105.84,222292
1993-01-26,105.44,105.44,104.33,105.37,1869522
1993-01-27,106.02,107.65,106.02,107.36,4625
1993-01-28,106.63,108.07,106.63,108.07,614073
1993-01-29,107.52,108.67,106.64,108.67,889328
1993-02-01,107.11,108.42,106.87,108.42,297324
1993-02-02,109.60,109.60,108.78,108.78,479363
1993-02-03,108.97,109.67,108.81,109.67,8322248
1993-02-04,110.58,110.58,108.54,108.54,329126
1993-02-05,108.87,110.81,108.87,110.10,5220728
1993-02-08,109.44,109.87,109.44,109.83,500525
1993-02-09,111.00,113.20,111.00,113.18,6698588
1993-02-10,113.64,113.70,112.28,112.28,412302
1993-02-11,112.99,113.74,112.49,112.49,533422
1993-02-12,112.25,114.73,111.81,114.73,259055
1993-02-15,114.48,114.84,114.48,114.84,223127
1993-02-16,113.67,114.44,112.66,113.24,4226874
1993-02-17,113.07,113.10,111.64,111.64,6636828
1993-02-18,112.56,114.31,112.56,114.31,6005162
1993-02-19,113.99,113.99,112.73,113.74,577682
1993-02-22,111.75,113.24,111.75,113.24,1221306
1993-02-23,113.56,113.87,112.03,112.03,993191
1993-02-24,110.58,110.58,108.99,109.60,768016
1993-02-25,109.39,109.39,107.64,108.70,360779
1993-02-26,108.30,108.97,108.30,108.77,3566182
1993-03-01,109.65,109.65,108.46,108.46,35653
1993-03-02,106.93,109.39,106.93,109.39,1115593
1993-03-03,109.51,109.51,107.88,107.88,912664
1993-03-04,108.21,109.14,108.21,109.14,348119
1993-03-05,109.80,110.70,109.39,110.70,557136
1993-03-08,111.06,112.87,111.06,111.80,565670
1993-03-09,110.34,111.01,109.98,109.98,1312541
1993-03-10,110.15,110.21,108.69,108.69,1310087
1993-03-11,109.08,110.60,109.08,110.60,157683
1993-03-12,111.15,111.15,108.18,108.18,191091
1993-03-15,109.08,109.08,108.14,108.91,594842
1993-03-16,108.47,108.58,107.85,107.85,7830524
1993-03-17,107.84,110.31,107.84,109.98,4689233
1993-03-18,110.15,110.15,108.92,109.87,221806
1993-03-19,109.73,109.73,108.20,108.96,509760
1993-03-22,107.89,108.22,107.39,108.22,255625
1993-03-23,107.99,110.28,107.99,110.28,621563
1993-03-24,109.18,110.41,109.18,110.41,759210
1993-03-25,110.68,111.45,110.29,111.45,1817497
1993-03-26,111.03,112.60,110.71,112.60,5858089
1993-03-29,113.93,114.14,112.73,114.14,1802360
1993-03-30,114.72,115.72,112.38,112.38,85005
1993-03-31,113.24,113.24,110.29,110.29,49116
1993-04-01,108.42,109.08,107.27,109.08,7661631
1993-04-02,109.21,109.21,107.55,107.55,674746
1993-04-05,108.27,108.94,108.27,108.34,1502200
1993-04-06,106.89,109.28,106.89,109.28,985865
1993-04-07,108.69,108.85,108.65,108.85,75554
1993-04-08,107.09,109.11,107.09,107.21,161007
1993-04-09,110.04,113.02,110.04,113.02,388568
1993-04-12,112.76,114.03,112.70,114.03,1212302
1993-04-13,113.02,113.22,111.07,111.07,862262
1993-04-14,111.36,111.36,110.68,111.21,3730836
1993-04-15,110.61,112.15,110.61,112.15,88139
1993-04-16,112.82,112.82,111.48,111.48,305838
1993-04-19,111.37,111.85,109.90,111.48,819012
1993-04-20,109.23,109.23,104.76,104.76,243470
1993-04-21,103.18,105.13,103.18,105.13,1482579
1993-04-22,106.88,106.98,106.78,106.78,31197
1993-04-23,106.58,107.82,105.76,107.82,44701
1993-04-26,108.75,109.98,108.25,109.98,240945
1993-04-27,110.69,111.54,110.69,111.33,1512839
1993-04-28,110.45,110.62,109.64,109.97,159562
1993-04-29,109.41,109.41,106.80,108.11,262282
1993-04-30,110.01,111.23,110.01,110.33,1369673
1993-05-03,110.24,110.24,109.48,109.48,1541815
1993-05-04,109.00,109.01,108.02,108.12,823638
1993-05-05,108.11,108.11,105.52,107.92,40129
1993-05-06,109.36,109.36,106.40,106.40,917987
1993-05-07,105.81,106.72,105.55,106.72,6307859
1993-05-10,107.34,107.55,107.34,107.51,371043
1993-05-11,108.27,108.36,107.01,107.01,89472
1993-05-12,106.86,108.07,106.57,106.57,140620
1993-05-13,105.62,105.62,102.26,102.35,96952
1993-05-14,102.19,103.49,102.05,103.13,962511
1993-05-17,103.39,104.88,102.87,104.88,494149
1993-05-18,105.16,105.16,104.51,104.51,2621529
1993-05-19,104.91,106.79,104.91,106.67,24908
1993-05-20,106.11,108.41,105.56,108.41,1064947
1993-05-21,106.42,107.91,106.42,107.50,1304869
1993-05-24,106.60,106.60,104.08,104.08,124637
1993-05-25,104.84,109.15,104.84,109.15,1054827
1993-05-26,108.77,110.78,108.11,110.78,215391
1993-05-27,109.54,109.54,107.94,108.73,1595246
1993-05-28,109.38,110.42,108.35,110.42,162008
1993-05-31,110.51,112.41,110.51,112.41,1264128
1993-06-01,112.06,113.67,111.23,113.67,1291353
1993-06-02,113.00,115.34,113.00,115.34,1717047
1993-06-03,117.58,117.58,115.97,115.97,2534767
1993-06-04,115.45,115.45,112.41,112.41,198522
1993-06-07,111.72,113.22,111.72,112.18,599810
1993-06-08,113.12,116.68,113.12,115.57,2322522
1993-06-09,116.72,116.72,112.54,112.54,2631158
1993-06-10,110.57,115.33,110.57,115.33,342811
1993-06-11,113.80,113.80,109.68,109.68,323064
1993-06-14,108.89,108.89,106.20,106.20,2424298
1993-06-15,108.02,108.22,107.97,108.11,1387903
1993-06-16,107.04,107.04,104.94,104.94,214485
1993-06-17,104.24,105.38,103.96,103.96,721554
1993-06-18,105.67,108.18,105.67,107.93,535531
1993-06-21,107.70,107.80,106.17,107.80,1920820
1993-06-22,107.90,107.90,105.15,105.15,703033
1993-06-23,105.52,107.39,105.38,107.39,1329387
1993-06-24,108.50,108.50,106.88,106.88,345418
1993-06-25,106.07,106.07,104.54,104.82,270547
1993-06-28,106.08,107.70,105.36,107.70,1569552
1993-06-29,109.18,109.93,108.86,108.95,2886105
1993-06-30,107.27,109.20,106.42,108.60,774125
1993-07-01,109.36,109.36,106.23,106.40,968002
1993-07-02,106.75,106.75,105.86,105.86,243368
1993-07-05,105.19,106.17,103.81,106.17,107402
1993-07-06,106.01,107.69,105.78,105.78,211208
1993-07-07,105.78,105.78,104.40,104.45,258246
1993-07-08,105.57,108.32,105.57,107.56,943251
1993-07-09,108.28,108.81,107.34,107.40,1151536
