date,open,high,low,close,volume
1993-01-01,100.68,100.68,99.09,99.09,2664200
1993-01-04,99.62,99.62,99.53,99.54,818654
1993-01-05,98.63,100.80,97.94,100.80,1991741
1993-01-06,99.43,99.58,98.28,98.28,84921
1993-01-07,97.61,103.38,97.56,103.38,298007
1993-01-08,104.80,104.80,103.18,103.18,4609992
1993-01-11,105.49,108.56,105.49,108.40,1273481
1993-01-12,107.98,109.88,107.98,108.75,460409
1993-01-13,107.86,109.64,107.86,109.64,600766
1993-01-14,110.07,111.38,110.07,111.20,765034
1993-01-15,112.05,112.05,110.82,111.56,25102865
1993-01-18,111.97,116.89,111.97,116.89,873424
1993-01-19,115.61,117.11,115.61,117.11,82758
1993-01-20,118.25,118.70,116.94,116.94,3264430
1993-01-21,118.30,118.30,117.02,117.02,241430
1993-01-22,115.87,116.99,115.87,116.87,2541861
1993-01-25,117.93,117.93,117.52,117.78,380944
1993-01-26,117.03,117.03,113.99,113.99,780079
1993-01-27,114.35,116.92,114.35,116.92,570287
1993-01-28,116.53,117.48,115.92,117.38,720377
1993-01-29,116.50,116.99,114.91,114.91,233025
1993-02-01,113.32,113.32,109.76,109.76,253597
1993-02-02,108.49,108.49,106.28,106.28,1466680
1993-02-03,107.32,108.47,107.18,107.77,1703010
1993-02-04,106.38,107.83,106.21,107.80,41612
1993-02-05,108.11,109.09,107.76,109.09,3902446
1993-02-08,108.75,108.75,107.45,107.54,2982567
1993-02-09,108.24,108.24,105.75,105.75,6429225
1993-02-10,105.57,105.57,104.04,105.00,156934
1993-02-11,105.74,105.74,102.80,103.61,1935057
1993-02-12,102.60,104.19,102.60,104.19,600203
1993-02-15,105.90,105.90,103.07,103.07,390614
1993-02-16,103.00,104.78,103.00,104.78,1410744
1993-02-17,104.96,104.96,103.17,103.17,12129235
1993-02-18,102.54,102.54,98.78,99.62,2266035
1993-02-19,99.73,100.44,99.40,100.44,73277
1993-02-22,102.02,103.32,101.92,101.92,93937
1993-02-23,101.41,103.58,101.41,102.29,52043
1993-02-24,102.44,102.44,101.01,101.76,348998
1993-02-25,101.80,101.80,99.70,99.70,1253415
1993-02-26,99.08,99.20,98.58,98.58,483955
1993-03-01,99.73,100.51,98.93,98.93,379852
1993-03-02,100.09,101.32,100.09,101.32,239472
1993-03-03,101.20,102.20,100.71,100.71,3294042
1993-03-04,101.98,101.98,100.06,101.59,5057955
1993-03-05,103.74,105.75,103.74,105.75,59134
1993-03-08,105.77,107.05,103.62,103.62,165093
1993-03-09,103.55,105.41,103.55,104.40,11406
1993-03-10,103.83,106.17,103.83,106.17,1185937
1993-03-11,106.99,106.99,106.07,106.07,245764
1993-03-12,106.91,106.91,106.06,106.06,538302
1993-03-15,106.96,107.49,103.74,103.74,139431
1993-03-16,103.43,104.96,103.43,104.67,874622
1993-03-17,103.56,104.35,102.86,104.35,366968
1993-03-18,103.08,104.00,102.87,104.00,79861
1993-03-19,103.23,104.03,103.23,103.69,51010
1993-03-22,104.04,104.11,102.41,102.41,914461
1993-03-23,102.72,103.46,102.34,102.34,524244
1993-03-24,102.72,102.72,102.40,102.52,733572
1993-03-25,101.95,101.95,101.57,101.71,158472
1993-03-26,100.91,101.84,100.91,101.77,333806
1993-03-29,101.27,101.77,101.27,101.77,7735450
1993-03-30,100.95,105.08,100.91,105.08,216903
1993-03-31,103.51,103.51,102.51,102.87,928869
1993-04-01,102.80,102.80,101.79,101.79,553554
1993-04-02,100.70,101.78,100.30,101.78,5341571
1993-04-05,100.77,100.77,99.39,99.39,56699
1993-04-06,98.41,98.61,97.44,98.14,586601
1993-04-07,97.13,97.13,96.58,96.71,32222
1993-04-08,97.88,99.22,97.88,98.69,14290
1993-04-09,97.40,98.10,96.28,96.28,320394
1993-04-12,96.68,96.68,95.22,95.85,1323564
1993-04-13,95.92,95.92,94.06,94.06,662640
1993-04-14,94.48,94.48,92.79,92.79,2297383
1993-04-15,93.73,94.45,93.02,93.02,148516
1993-04-16,92.37,94.22,92.37,94.22,322482
1993-04-19,92.41,92.89,92.09,92.81,654156
1993-04-20,92.34,92.95,91.85,92.95,91412
1993-04-21,94.53,96.44,94.26,96.44,1676289
1993-04-22,97.22,98.97,96.80,98.97,42348
1993-04-23,98.69,99.14,98.57,98.91,351990
1993-04-26,99.12,99.53,99.12,99.42,846383
1993-04-27,96.23,97.62,96.23,96.76,1445770
1993-04-28,98.11,102.71,98.11,102.61,177897
1993-04-29,101.57,101.78,101.24,101.49,324375
1993-04-30,101.61,102.33,101.61,102.33,8938464
1993-05-03,102.96,103.38,101.57,101.57,3266029
1993-05-04,100.48,100.59,99.08,99.08,86747
